block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,rootstock_raw,rootstock_matched,rootstock_id,planting_year,tree_count,length_m,area_m2
Bravo 15,Robbies Bravo,27,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,83,82.5,288.75
Bravo 15,Robbies Bravo,28,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,195,199,696.5
Bravo 15,Robbies Bravo,29,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,198,200.5,701.75
Bravo 15,Robbies Bravo,30,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,199,201,703.5
Bravo 15,Robbies Bravo,31,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,204,203,710.5
Bravo 15,Robbies Bravo,32,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,201,205.5,719.25
Bravo 15,Robbies Bravo,33,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,202,206,721
Bravo 15,Robbies Bravo,34,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,207,207,724.5
Bravo 15,Robbies Bravo,35,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2015,207,207,724.5
CHERRY BRAVO,Cherry Bravo,1,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,183,183,549
CHERRY BRAVO,Cherry Bravo,2,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,182,182,546
CHERRY BRAVO,Cherry Bravo,3,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,181,181,543
CHERRY BRAVO,Cherry Bravo,4,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,180,180,540
CHERRY BRAVO,Cherry Bravo,5,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,179,179,537
CHERRY BRAVO,Cherry Bravo,6,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,178,178,534
CHERRY BRAVO,Cherry Bravo,7,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,177,177,531
CHERRY BRAVO,Cherry Bravo,8,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,177,177,531
CHERRY BRAVO,Cherry Bravo,9,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,176,176,528
CHERRY BRAVO,Cherry Bravo,10,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,175,175,525
CHERRY BRAVO,Cherry Bravo,11,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,175,175,525
CHERRY BRAVO,Cherry Bravo,12,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,174,174,522
CHERRY BRAVO,Cherry Bravo,13,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,173,173,519
CHERRY BRAVO,Cherry Bravo,14,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,173,173,519
CHERRY BRAVO,Cherry Bravo,15,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,172,172,516
CHERRY BRAVO,Cherry Bravo,16,,PORTION,BRAVO,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2016,171,171,513
Cherries,Rainier,12,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,173,173,865
Cherries,Rainier,13,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2021,172,172,860
Cherries,Van,14,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2021,172,172,860
Cherries,Van,15,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,170,170,850
Cherries,Van,16,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,170,170,850
Cherries,Rainier,17,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,61,61,305
