block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
Cherries,Rainier,44db5169-a7c5-4ecd-9c33-3a0206e81f5f,17,,171,5,PORTION
Cherries,Van,71334a88-c423-4f95-bbcf-2dbdbe26d070,18,,166,5,PORTION
Cherries,Lapin,8b740640-7f2d-4afa-8256-970336b9763d,19,,163,5,PORTION
Cherries,Rainier,44db5169-a7c5-4ecd-9c33-3a0206e81f5f,20,,167,5,PORTION
Cherries,Van,71334a88-c423-4f95-bbcf-2dbdbe26d070,21,,166,5,PORTION
Cherries,Rainier,44db5169-a7c5-4ecd-9c33-3a0206e81f5f,22,,165,5,PORTION
Cherries,Chelan,df7d4e9c-71eb-44f2-939f-ca322e0d70a4,23,,164,5,PORTION
Cherries,Chelan,df7d4e9c-71eb-44f2-939f-ca322e0d70a4,24,,178,5,PORTION
Cherries,Van,71334a88-c423-4f95-bbcf-2dbdbe26d070,25,,162,5,PORTION
Cherries,Lapin,8b740640-7f2d-4afa-8256-970336b9763d,26,,160,5,PORTION
Cherries,Van,71334a88-c423-4f95-bbcf-2dbdbe26d070,27,,157,5,PORTION
Cherries,Rainier,44db5169-a7c5-4ecd-9c33-3a0206e81f5f,28,,156,5,PORTION
Cherries,Rainier,44db5169-a7c5-4ecd-9c33-3a0206e81f5f,29,,156,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,1,,173,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,2,,173,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,3,,173,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,4,,172,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,5,,172,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,6,,171,4.5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,7,,171,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,8,,170,5,PORTION
